Execution Order | Job | Operation | Time (s)
           202 |  16 |         7 | 0.00000000 seconds
           203 |  24 |         7 | 0.00000000 seconds
           204 |   5 |         8 | 0.00000000 seconds
           205 |   8 |         7 | 0.00000000 seconds
           206 |   0 |         7 | 0.00000000 seconds
           207 |   4 |         8 | 0.00000000 seconds
           208 |  19 |        11 | 0.00000000 seconds
           209 |   9 |        10 | 0.00000000 seconds
           210 |  16 |         8 | 0.00000000 seconds
           211 |  17 |         7 | 0.00000000 seconds
           212 |  19 |        12 | 0.00000000 seconds
           213 |  22 |        10 | 0.00000000 seconds
           214 |   4 |         9 | 0.00000000 seconds
           215 |   6 |         6 | 0.00000000 seconds
           216 |  10 |         9 | 0.00000000 seconds
           217 |   0 |         8 | 0.00000000 seconds
           218 |   6 |         7 | 0.00000000 seconds
           219 |  11 |         8 | 0.00000000 seconds
           220 |  22 |        11 | 0.00000000 seconds
           221 |  10 |        10 | 0.00000000 seconds
           222 |  20 |         8 | 0.00000000 seconds
           223 |   2 |         7 | 0.00000000 seconds
           224 |   3 |         8 | 0.00000000 seconds
           225 |  18 |         8 | 0.00000000 seconds
           226 |  23 |         6 | 0.00000000 seconds
           227 |  22 |        12 | 0.00000000 seconds
           228 |   3 |         9 | 0.00000000 seconds
           229 |  10 |        11 | 0.00000000 seconds
           230 |  12 |         7 | 0.00000000 seconds
           231 |  24 |         8 | 0.00000000 seconds
           232 |   0 |         9 | 0.00000000 seconds
           233 |   5 |         9 | 0.00000000 seconds
           234 |  17 |         8 | 0.00000000 seconds
           235 |   0 |        10 | 0.00000000 seconds
           236 |   2 |         8 | 0.00000000 seconds
           237 |   4 |        10 | 0.00000000 seconds
           238 |   7 |         9 | 0.00000000 seconds
           239 |  19 |        13 | 0.00000000 seconds
           240 |  21 |         5 | 0.00000000 seconds
           241 |  24 |         9 | 0.00000000 seconds
           242 |  17 |         9 | 0.00000000 seconds
           243 |  13 |        11 | 0.00000000 seconds
           244 |   1 |         8 | 0.00000000 seconds
           245 |  23 |         7 | 0.00000000 seconds
           246 |   4 |        11 | 0.00000000 seconds
           247 |   7 |        10 | 0.00000000 seconds
           248 |  18 |         9 | 0.00000000 seconds
           249 |  12 |         8 | 0.00000000 seconds
           250 |  14 |         8 | 0.00000000 seconds
           251 |   6 |         8 | 0.00000000 seconds
           252 |   7 |        11 | 0.00000000 seconds
           253 |  17 |        10 | 0.00000000 seconds
           254 |  10 |        12 | 0.00000000 seconds
           255 |   0 |        11 | 0.00000000 seconds
           256 |  11 |         9 | 0.00000000 seconds
           257 |   2 |         9 | 0.00000000 seconds
           258 |  15 |        11 | 0.00000000 seconds
           259 |  22 |        13 | 0.00000000 seconds
           260 |   1 |         9 | 0.00000000 seconds
           261 |  10 |        13 | 0.00000000 seconds
           262 |  20 |         9 | 0.00000000 seconds
           263 |   9 |        11 | 0.00000000 seconds
           264 |  11 |        10 | 0.00000000 seconds
           265 |  12 |         9 | 0.00000000 seconds
           266 |  23 |         8 | 0.00000000 seconds
           267 |   4 |        12 | 0.00000000 seconds
           268 |   6 |         9 | 0.00000000 seconds
           269 |   9 |        12 | 0.00000000 seconds
           270 |  13 |        12 | 0.00000000 seconds
           271 |  15 |        12 | 0.00000000 seconds
           272 |  23 |         9 | 0.00000000 seconds
           273 |  24 |        10 | 0.00000000 seconds
           274 |   6 |        10 | 0.00000000 seconds
           275 |  14 |         9 | 0.00000000 seconds
